CAS,LogP,smiles_string
002973-27-5,1.98,c1ccc2c(C(#N))ccnc2c1
002973-78-6,1.83,Brc(cc(c1)C=O)c(c1)O
002974-90-5,5.15,c1c(Cl)cccc1c2ccc(Cl)cc2
002974-92-7,5.29,c1ccccc1c2cc(Cl)c(Cl)cc2
002976-32-1,0.50,N(=O)(=O)c1cc(S(=O)(=O)C)ccc1
002976-75-2,2.60,c1ccc2ccccc2c1OCC(=O)O
002979-53-5,2.46,c1ccccc1C(=O)NCC(=O)Oc2cc(N(=O)(=O))ccc2
002979-54-6,2.31,c1ccccc1C(=O)NCC(=O)Oc2ccccc2
002987-53-3,1.20,Nc1ccccc1SC
002989-17-5,2.08,COC(=O)COc1ccccc1C
002989-98-2,2.08,NC(=O)Nc1cccc(Br)c1
002990-01-4,2.80,CN(C)C(=O)N(c1ccccc1)c2ccccc2
002990-06-9,3.54,c1ccccc1CC(=O)Nc2ccc(Cl)cc2
003000-74-6,0.91,CNCCCCc1cccnc1
003000-75-7,0.76,n1cc(CNCC)ccc1
003001-72-7,-0.17,C1CN2CCCN=C2C1
003006-96-0,0.93,OC(=O)c1ccc(CO)cc1
003011-34-5,1.48,c1c(C=O)cc(N(=O)=O)c(O)c1
003012-37-1,1.99,c1ccccc1CSC(#N)
003023-44-7,2.63,c1c(Cl)cc2C(c3ccccc3OC)=NCC(=O)Nc2c1
003034-34-2,0.48,NC(=O)c1ccc(C(#N))cc1
003034-38-6,-0.11,N1C=NC(N(=O)(=O))=C1
003034-41-1,-0.44,Cn1cnc(c1)N(=O)=O
003034-42-2,0.13,Cn1cncc1N(=O)=O
003038-48-0,2.59,CC(=O)Oc1c(C(F)(F)F)cccc1
003039-74-5,-0.47,c1ccc2c(O)ccn(=O)c2c1
003040-44-6,0.96,OCCN(CCCC1)C1
003042-22-6,2.76,c1ccccc1C2=CC=CN2
003047-74-3,0.01,O[Si](O)(O)c1ccccc1
003048-65-5,3.83,C(C(C=C1)CC=C2)(C2)C1
003055-86-5,1.61,C(Oc1ccccc1)CC(#N)
003056-17-5,-0.72,O1C(CO)C=CC1N2C(=O)NC(=O)C(C)=C2
003056-59-5,2.42,CC(=O)Oc1c(CC)cccc1
003056-60-8,2.45,CC(=O)Oc1cc(CC)ccc1
003056-73-3,3.61,c1ccccc1NC(=O)C=Cc2ccccc2
003060-89-7,2.38,CON(C)C(=O)Nc1ccc(Br)cc1
003063-05-6,-1.15,CC(C)CC(N)C(=O)NC(C(=O)O)Cc1ccccc1
003063-05-6,-1.15,CC(C)CC(N)C(=O)NC(C(=O)O)Cc1ccccc1
003064-70-8,3.30,O=S(=O)(C(Cl)(Cl)Cl)C(Cl)(Cl)Cl
003066-90-8,1.05,Cc1c(O)c(OC)c(OC)c(O)c1
003070-13-1,2.79,O=P(OCC)(OCC)Oc1ccc(SC)cc1
003070-15-3,4.16,O(P(OCC)(Oc(ccc(SC)c1)c1)=S)CC
003077-12-1,1.09,OCCN(c(ccc(c1)C)c1)CCO
003085-54-9,1.61,c1cc(C)ccc1NC=O
003085-79-8,0.26,CCCC[N+](CCCC)(CCCC)C.[I-]
003093-23-0,4.49,C1CN(CCOCCO)CCN1CCCN2c3ccccc3Sc4ccc(C(F)(F)F)cc24
003096-52-4,3.06,O=C2c1ccccc1c3cc(ccc23)N(=O)=O
003097-21-0,1.46,c1ccc2N(C)C(=O)N(C)c2c1
003112-85-4,0.50,CS(=O)(=O)c1ccccc1
003112-88-7,2.05,c1ccccc1S(=O)(=O)Cc2ccccc2
003113-71-1,2.42,O=C(O)c(ccc(N(=O)=O)c1C)c1
003113-72-2,1.63,O=C(O)c(c(N(=O)=O)ccc1C)c1
003115-28-4,3.20,CCCCC(CCCC)C(=O)O
003116-76-5,2.91,Cc1onc(c1C(=O)NC3C2SC(C)(C)C(N2C3=O)C(O)=O)c4c(Cl)cccc4Cl
003117-02-0,0.34,O=C1C=CC(=O)C(OC)=C1OC
003117-05-3,0.22,O=C1C=C(OC)C(=O)C(OC)=C1OC
003117-06-4,0.41,O=C1C(OC)=C(OC)C(=O)C(OC)=C1OC
003118-68-1,0.24,c1c(C#N)cc(S(=O)(=O)N)cc1
003119-02-6,0.23,NS(=O)(=O)c1ccc(C(#N))cc1
003121-61-7,0.56,O=C(OCCOC)C=C
003123-89-5,0.30,C1=C(N)C(=O)C=C2C(NC(=O)C)CCc3cc(OC)c(OC)c(OC)c3C2=C1
003124-46-7,0.94,CC(C)(C)COC(=O)N
003125-63-1,3.23,c1c(O)cc(N=C=S)cc1
003125-64-2,3.68,c1ccc(OC)cc1N=C=S
003125-78-8,3.13,c1ccc(C#N)cc1N=C=S
003126-90-7,4.26,c1c(C(=O)OCCCC)cccc1C(=O)OCCCC
003132-64-7,0.85,O(C1CBr)C1
003140-74-7,2.31,N(C)(C)c1nc(Cl)nc(N(C)C)n1
003140-93-0,3.53,S1C(Br)=C(Br)C=C1
003141-42-2,4.88,c1ccccc1C2(c3ccccc3)C(Cl)(Cl)C2
003146-39-2,1.58,O(C1C(C2)C3)C1C2C3
003146-66-5,2.31,CCCCC(C(NC1=O)=O)(C(N1)=O)CC=C
003147-50-0,0.60,c1c(O)c(C(=O)N)c(O)cc1
003149-01-7,1.34,c1ccccc1S(=O)(=O)NC(=O)NC(C)C
003149-28-8,0.73,O(c(nccn1)c1)C
003150-24-1,-0.59,O1C(CO)C(O)C(O)C(O)C1Oc2ccc(N(=O)(=O))cc2
003150-53-6,0.60,OCCn1c(N(=O)(=O))ccc1C(#N)
003153-44-4,1.38,c1cc(OC)ccc1C(=O)CCC(=O)O
003156-34-1,2.85,Clc1ccccc1C=CN(=O)(=O)
003156-35-2,2.57,c1ccc(Cl)cc1C=CN(=O)(=O)
003156-39-6,1.80,N(=O)(=O)c1ccccc1C=CN(=O)(=O)
003156-41-0,1.89,N(=O)(=O)C=Cc1ccc(N(=O)(=O))cc1
003156-44-3,2.07,N(=O)(=O)C=Cc1cc(O)ccc1
003160-35-8,1.86,O=C(C=Cc(ccc(O)c1)c1)C
003160-38-1,2.65,O=C(C=Cc1ccc(cc1)C)C
003160-40-5,2.80,Clc(ccc1C=CC(=O)C)cc1
003163-07-3,1.05,c1c(N(=O)=O)c(O)cc(O)c1
003178-22-1,5.04,C(CCC1C(C)(C)C)CC1
003179-08-6,2.12,N(=O)(=O)C=Cc1ccc(O)cc1
003179-09-7,2.37,N(=O)(=O)C=Cc1cc(OC)ccc1
003179-10-0,2.20,N(=O)(=O)C=Cc1ccc(OC)cc1
003199-61-9,3.05,CCOC(=O)C1=Cc2ccccc2O1
003201-53-4,1.27,c1ccccc1C(=O)NC(=O)NC
003208-16-0,2.40,C1=COC(CC)=C1
003209-22-1,3.05,O=N(=O)c(c(c(cc1)Cl)Cl)c1
003211-40-3,1.70,NS(=O)(=O)c1c(Cl)cc2N=C(Cc3ccccc3)NS(=O)(=O)c2c1
003215-24-5,0.54,Nc1ccc2N3C4C5C6CC7N(CCC74c2c1)CC6=CCOC5CC3=O
003217-09-2,1.28,OCC(NCc1ccccc1)C
003229-00-3,3.99,BrCC(CBr)(CBr)CBr
003229-53-6,1.00,CC1(C)CCC(C)(C)[N]1=O
003235-02-7,2.40,ON=Cc1ccc(C)cc1
003236-48-4,2.96,c1ccc2C(=O)N(CCCCBr)C(=O)c2c1
003237-22-7,1.40,O1C=CC=C1C=C(C#N)C#N
003245-23-6,2.56,CC(=O)Oc1ccc(CC)cc1
003253-62-1,-0.62,O6C(C)C(O)C(O)C(O)C6OC1CC2(O)CCC3C4(O)CCC(C5=CC(=O)OC5)C4(C)CCC3C2(CO)CC1
003256-99-3,-0.32,NS(=O)(=O)c1c(C)cc2N=CNS(=O)(=O)c2c1
003261-53-8,2.04,CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CCC7(C)C(C(CC67O)OC=O)C8=CC(=O)OC8)C4
003261-62-9,1.83,c1cc(C)ccc1CCN
003267-78-5,1.68,CCC[Sn](CCC)(CCC)OC(C)=O
003268-87-9,8.20,Clc3c(Cl)c(Cl)c2Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Oc2c3Cl
003271-01-0,0.90,n1cc(CC)cnc1NS(=O)(=O)c2ccc(N)cc2
003274-28-0,3.01,CCCCC(CCC)C(=O)O
003287-99-8,-1.96,ClN(H)(H)(H)Cc1ccccc1
003290-92-4,4.39,O=C(OCC(CC)(COC(=O)C(=C)C)COC(=O)C(=C)C)C(=C)C
003290-99-1,0.25,c1cc(OC)ccc1C(=O)NN
003296-90-0,1.06,OCC(CBr)(CBr)CO
003303-31-9,-1.47,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O
003303-31-9,-1.46,CC(C)CC(N)C(=O)NC(CC(C)C)C(=O)O
003303-55-7,-1.17,c1ccccc1CC(N)C(=O)NC(C(=O)O)CC(C)C
003303-55-7,-1.17,c1ccccc1CC(N)C(=O)NC(C(=O)O)CC(C)C
003307-39-9,2.31,CC(Oc1ccc(Cl)cc1)C(O)=O
003313-26-6,3.78,O=S(c1cc(C3=CCCN2CCN(C)CC2)c(Sc4c3cccc4)cc1)(N(C)C)=O
003316-09-4,1.66,Oc1c(O)cc(N(=O)=O)cc1
003319-31-1,8.00,O=C(OCC(CCCC)CC)c(ccc(c1C(=O)OCC(CCCC)CC)C(=O)OCC(CCCC)CC)c1
003324-76-3,0.81,C1=CC(O)=CC(=O)C=C1
003326-88-3,0.82,C1=CSSC1=O
003337-71-1,-0.27,COC(=O)NS(=O)(=O)c1ccc(N)cc1
003343-19-9,-1.01,c1c(O)c(O)ccc1C(O)CO
003343-22-4,1.90,O1C(COC(=O)CCC)C(OC(=O)CCC)CC1N2C(=O)NC(=O)C(F)=C2
003347-22-6,2.84,c1ccc2C(=O)C(S3)=C(SC(C#N)=C3C#N)C(=O)c2c1
003350-21-8,5.09,S=C=NC(c1ccccc1)c2ccccc2
003354-37-8,3.20,c2ccccc2C1=CSSC1=S
003354-39-0,2.45,CC1=C(C)SSC1=S
003354-40-3,1.89,C1=C(C)SSC1=S
003354-41-4,2.18,CC1=CSSC1=S
003354-42-5,3.57,c1ccc2C(=S)SSc2c1
003357-37-7,1.18,c1ccccc1C=NNC(=N)N
003357-42-4,1.54,c1ccccc1C2=NNC=N2
003360-41-6,2.35,OCCCCc(cccc1)c1
003366-95-8,0.22,CC(O)CN1C(N(=O)=O)=CN=C1C
003373-86-2,1.35,CN(C)C(=O)Oc1ccccc1N(=O)(=O)
003376-24-7,1.26,O=N(=Cc(cccc1)c1)C(C)(C)C
003376-32-7,2.53,c1ccccc1C=NOC
003380-34-5,4.76,O(c(c(O)cc(c1)Cl)c1)c(c(cc(c2)Cl)Cl)c2
003382-56-7,3.89,N(=O)(=O)c1ccc(C(C)(C)C)cc1
003383-96-8,5.96,O(P(OC)(Oc(ccc(Sc(ccc(OP(OC)(OC)=S)c1)c1)c2)c2)=S)C
003393-59-7,3.78,c1c(Cl)c(Cl)c2nc(C(F)(F)F)nc2c1Cl
003397-78-2,1.41,c1ccc2c(OC)cnnc2c1
003416-05-5,-0.60,O1C(CO)CCC1N2C(=O)NC(=O)C(C)=C2
003416-26-0,5.60,Cc1cccc(C)c1NC(=O)CN2CCN(CCCC(c3ccc(F)cc3)c4ccc(F)cc4)CC2
003424-93-9,0.86,NC(=O)c1ccc(OC)cc1
003435-28-7,0.19,n1cnc(N)cc1C
003438-46-8,0.16,n(ccc(n1)C)c1
003438-48-0,1.92,n1cnccc1c2ccccc2
003441-01-8,0.52,NC(=O)c1cc(C(#N))ccc1
003445-76-9,3.67,C1=C(c2ccccc2)SSC1=S
003452-97-9,3.42,OCCC(CC(C)(C)C)C
003453-64-3,1.41,CC1OC(=O)c2ccccc12
003454-07-7,4.19,c(ccc(c1)C=C)(c1)CC
003456-79-9,2.59,c1cc2C(c3ccccc3)C(=O)Nc2cc1
003463-30-7,2.25,O=N(=O)c1ccc(cc1)n2cccn2
003467-29-6,3.73,c2cc(C)ccc2C1=CSSC1=S
003467-32-1,2.64,c2ccccc2C1=CSSC1=O
003469-69-0,1.70,N1N=CC(I)=C1
003475-63-6,0.36,CN(C)C(=O)N(C)N=O
003476-50-4,1.10,C1c2cc(OC)c(OC)c(OC)c2C3=CC=C(OC)C(=O)C=C3C(N)C1
003478-94-2,4.31,CC1CCCCN1CCCOC(=O)c2cc(Cl)c(Cl)cc2
003481-20-7,4.10,Nc1c(Cl)c(Cl)cc(Cl)c1Cl
003483-39-4,2.43,C1CCCCC1C2CO2
003485-14-1,1.31,C1CCCCC1(N)C(=O)NC2C3SC(C)(C)C(C(=O)O)N3C2=O
003489-59-6,1.80,CN1C(=O)CN=C(c2ccccc2)c3cc(C#N)ccc13
003490-37-7,1.90,c1cc(N(=O)=O)ccc1C=CC(=O)C
003510-70-1,3.84,CCC[Si](C)(C)C
003530-82-3,0.60,c1ccccc1CC2C(=O)NC(=O)N2
003531-14-4,-0.98,CCC[N+](C)(CCC)CCC.[I-]
003538-65-6,-0.62,CCCC(=O)NN
003544-24-9,-0.33,c1ccc(N)cc1C(=O)N
003544-35-2,2.02,C(C)(C)NNC(=O)COc1ccc(Cl)cc1
003547-33-9,3.64,OCCSCCCCCCCC
003550-21-8,5.09,c1ccccc1C(N=C=S)c2ccccc2
003555-18-8,3.84,c1cc(O)c(N(=O)=O)cc1C(C)CC
003558-69-8,4.82,c1ccc(cc1)c2cccc(n2)c3ccccc3
003566-00-5,2.47,CNC(=O)Oc1cc(C)c(SC)cc1
003567-25-7,1.89,[O-]S(=O)(=O)c1cc(Cl)ccc1Oc2ccc(Cl)cc2NC(=O)Nc3ccc(Cl)c(Cl)c3.[Na+]
003567-38-2,1.59,C#CC(c1ccccc1)OC(=O)N
003567-62-2,2.94,CNC(=O)Nc1ccc(Cl)c(Cl)c1
003567-84-8,1.09,c1cc(Br)ccc1N2C(C)(C)N=C(N)N=C2N
003572-34-7,1.98,c1cc(N)ccc1S(=O)(=O)c2ccc(NCC)cc2
003585-93-1,1.94,COc1ccc(C=N(=O)c2ccccc2)cc1
003586-14-9,4.46,O(c(cccc1C)c1)c(cccc2)c2
003593-96-2,4.48,C12(C)C3C(O)CC4(C)C(C(=O)COC(=O)CCCCC)(O)CCC4C3CCC2=CC(=O)CC1
003599-32-4,-0.29,CC1(C)c2c3ccccc3ccc2N(CCCCS(=O)(=O)O)=C1C=CC=CC=CC=C5C(C)(C)c6c7ccccc7ccc6N5CCCCS(=O)(=O)[O-].[Na+]
003599-76-6,4.42,C(Cl)(Cl)(Cl)c1nc(C(Cl)(Cl)Cl)nc(SC)n1
003615-21-2,3.49,c1c(Cl)c(Cl)c2nc(C(F)(F)F)nc2c1
003619-01-0,-0.17,COC(=O)C(NC(=O)C)CC
003619-02-1,-0.57,CC(NC(=O)C)C(=O)OC
003619-17-8,-0.63,CC(C)C(=O)NN
003619-22-5,0.72,c1cc(C)ccc1C(=O)NN
003620-08-4,1.26,C1=C(C)SSC1=O
003620-10-8,1.33,CC1=CSSC1=O
003625-25-0,2.53,O=C1NC(=O)NC(=O)C1(CC)C2=CC(C3)CCC3C2
003626-62-8,2.44,C1CCCCN1C(=O)Cc2ccccc2
003642-85-1,2.75,C1C(=O)C=C2C(C)CC3C4CCC(C(=O)C)C4(C)CC(=O)C3C2(C)C1
003645-61-2,0.41,[O-]c1ccc(c2ccccc2)cc1.[Na+]
003663-20-5,3.30,CC(=O)Nc1ccc(CCCC)cc1
003663-21-6,3.10,CC(=O)Nc1c(N(=O)(=O))cc(CCCC)cc1
003663-34-1,2.20,CC(=O)Nc1ccc(CC)cc1
003671-60-1,3.57,c1c(Br)cc2nc(C(F)(F)F)nc2c1
003679-63-8,4.50,Oc1ccccc1C(=O)Nc2ccc(Cl)cc2
003679-64-9,5.02,Oc1ccc(Br)cc1C(=O)Nc2ccc(Cl)cc2
003681-78-5,6.11,CCCCCCCCCCCC(=O)OCCC
003688-53-7,0.15,NC(=O)C(=Cc1ccc(o1)N(=O)=O)c2ccco2
003688-82-2,2.50,c1cccc(OCC)c1C(=O)N(CC)CC
003689-24-5,3.99,CCOP(=S)(OCC)OP(=S)(OCC)OCC
003689-50-7,2.51,c1ccc2S(=O)(=O)c3ccccc3N(CC(C)CN(C)C)c2c1
003690-04-8,-0.05,O=C1N(c2ccccc2)N(C)C(C)=C1NC(=O)C(C)N(C)C
003690-53-7,1.99,c1ccccc1C(=O)NCCN(CC)CC
003694-52-8,1.27,Nc1c(N)c(N(=O)(=O))ccc1
003695-86-1,1.65,O1C=CC=C1C=C(C#N)C(=O)OC
003701-01-7,-0.55,NS(=O)(=O)c1cc(S(=O)(=O)N)ccc1
003704-09-4,3.19,C1C(=O)C=C2CC(C)C3C4CCC(O)(C)C4(C)CCC3C2C1
003707-98-0,1.55,c1ccccc1N2C(=O)C(Cl)=C(N(C)C)C=N2
003710-84-7,-0.17,ON(CC)CC
003720-50-1,3.85,Clc1cccc(NN=C(C#N)C#N)c1Cl
003722-12-1,2.37,c1cc(N(=O)=O)ccc1NN=C(C#N)C#N
003724-16-1,-0.71,n1cc(CC(=O)N)ccc1
003724-65-0,0.72,O=C(O)C=CC
003731-51-9,-0.21,n1c(CN)cccc1
003731-52-0,-0.32,n1cc(CN)ccc1
003731-53-1,-0.38,n1ccc(CN)cc1
003734-48-3,5.57,ClC1=C(Cl)C(Cl)(C2(Cl)Cl)C3CC=CC3C12Cl
003734-49-4,6.20,ClC1=C(Cl)C(Cl)(C2(Cl)Cl)C3CC(Cl)(Cl)C(Cl)C3C12Cl
003735-01-1,2.60,CCOP(=S)(OCC)Oc1ccc(N)cc1
003736-81-0,2.24,c1cc(OC(=O)c2ccco2)ccc1N(C)C(=O)C(Cl)Cl
003737-09-5,2.58,n1ccccc1C(c2ccccc2)(C(=O)N)CCN(C(C)C)C(C)C
003739-38-6,3.91,OC(=O)c2cccc(Oc1ccccc1)c2
003739-82-0,0.74,n1c(OCC)nccc1
003740-92-9,4.17,n1c(Cl)cc(Cl)nc1c2ccccc2
003741-12-6,1.41,c1c(Cl)cc2c(N(=O)(=O))ccn(=O)c2c1
003741-15-9,2.06,c1ccc2c(N(=O)(=O))ccnc2c1
003743-11-1,3.08,Oc1cc(C)ccc1NC(=O)c2ccccc2
003758-59-6,-0.37,NNC(=O)c1ccnc(C)c1
003759-90-8,0.93,c1ccccc1N2C(=O)OCC2=O
003760-54-1,-0.32,O=CN1CCCC1
003761-48-6,1.40,c1cc(N)cc(OC)c1C(=O)NCCN(CC)CC
003766-60-7,3.00,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1
003766-81-2,2.78,O=C(Oc(c(ccc1)C(CC)C)c1)NC
003766-82-3,3.11,CNC(=O)Oc1cc(C)c(C(C)C)cc1
003767-28-0,-0.39,c1cc(N(=O)=O)ccc1OC2C(O)C(O)C(O)C(CO)O2
003769-57-1,4.30,O=N(=O)c(ccc(N=Nc(c(cc(N(CCO)CCO)c1)C)c1)c2Cl)c2
003770-50-1,3.22,CCOC(=O)C1=Cc2ccccc2N1
003771-14-0,-0.18,O=S(=O)(O)c(cc(O)c(c1ccc2)c2)c1
003772-76-7,0.61,c1cc(N)ccc1S(=O)(=O)Nc2nc(C)nc(OC)c2
003775-60-8,-1.44,o1c(N)nnc1
003775-61-9,-0.30,o1c(N)nnc1CC
003778-73-2,0.86,ClCCNP1(=O)OCCCN1CCCl
003780-85-6,4.51,Clc1cccc(Cl)c1NN=C(C#N)C#N
003786-76-3,2.90,CC1OC(CC(O)C1O)OC2C(C)OC(CC2O)OC3C(C)OC(CC3O)OC4CCC5(C)C(CCC6C5CCC7(C)C(CCC67O)C8COC(=O)C8)C4
003801-06-7,1.50,O=C1C=C2C(C)CC3C4CCC(OC(=O)C)(C(=O)C)C4(C)CC(O)C3(F)C2(C)C=C1
003811-49-2,2.67,c1ccc2COP(=S)(OC)Oc2c1
003813-05-6,1.34,OC(=O)CN1C(=O)Sc2cccc(Cl)c12
003829-78-5,1.14,CC(=O)N(C(C)C)CC=C
003845-76-9,0.00,O=C(NCCCN(C)C)C=C
003846-73-9,2.41,c1ccc2c(C)ccnc2c1O
003848-36-0,2.67,Clc1ccc(C=NO)cc1
003856-05-1,2.46,O=C(OCC(C)C)c(cc(O)c(O)c1O)c1
003858-83-1,-0.37,Nc1ccc(C(N)=N)cc1
003861-41-4,3.94,Brc1cc(C#N)cc(Br)c1OC(=O)CCC
003864-49-1,3.19,c1cc2NC(=O)CN=C(c3cc(C(F)(F)F)ccc3)c2cc1
003878-19-1,2.67,n1c2ccccc2[nH]c1c3ccco3
003891-59-6,0.63,O=C(OCC(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(OC(=O)C)C(=O))C
003894-63-1,3.34,c1ccc2C(c3ccc(C(F)(F)F)cc3)=NCC(=O)Nc2c1
003896-29-5,0.69,CC(=O)Nc1c(F)cccc1F
003900-31-0,2.75,CN2C(=O)CN=C(c1ccccc1F)c3cc(Cl)ccc23
003915-60-4,1.24,O=n1ccccc1SCc2ccccc2
003918-94-3,-2.82,CC(C)C(N)C(=O)NC(C(C)C)C(=O)O
003918-94-3,-2.82,CC(C)C(N)C(=O)NC(C(C)C)C(=O)O
003922-90-5,1.69,CC3C(C(C(=O)OC(C(C(O)C(C(=O)C2(CC(C3OC4OC(CC(C4O)N(C)C)C)C)CO2)C)C)C)C)OC1CC(C(C(O1)C)O)OC
003926-67-8,4.63,c1cc2Sc3ccc(Cl)cc3N(CCCN(C)C)c2cc1O
003930-20-9,0.24,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
003930-83-4,0.93,NC(=O)c1c(I)cccc1
003938-20-3,1.96,CNC(=O)Oc1cc(OC(C)C)ccc1
003938-24-7,0.81,CNC(=O)Oc1ccccc1OC
003938-28-1,1.30,CNC(=O)Oc1cc(OC)ccc1
003938-29-2,1.20,CNC(=O)Oc1ccc(OC)cc1
003938-34-9,1.92,CNC(=O)Oc1ccc(SC)cc1
003942-51-6,3.20,CNC(=O)Oc1ccc(C(C)CC)cc1
003942-54-9,1.64,O=C(Oc(c(ccc1)Cl)c1)NC
003942-71-0,2.84,CNC(=O)Oc1cc(C)ccc1C(C)C
003956-07-8,1.99,NC(=O)c1ccc(I)cc1
003956-55-6,4.80,O=C(OCCN(c(c(OC)cc(N=Nc(c(cc(N(=O)=O)c1)Br)c1N(=O)=O)c2NC(=O)C)c2)CCOC(=O)C)C
003957-74-2,1.90,c1cc(OC(=O)C)ccc1NC(=O)C(Cl)Cl
003964-58-7,2.41,OC(=O)c1ccc(O)c(Cl)c1
003964-81-6,3.59,CN1CCC(=C2c3ccccc3CCc4cccnc24)CC1
003971-99-1,2.03,CNC(=O)Oc1c(C)ccc(C)c1
003978-68-5,2.96,CNC(=O)Oc1cc(OCCCC)ccc1
003978-69-6,2.86,CNC(=O)Oc1ccc(OCCCC)cc1
003988-76-9,2.34,o1cccc1C(=O)C=Cc2occc2
003989-97-7,-2.07,NC(C(C)C)C(=O)NC(C(=O)O)CC(C)C
003989-97-7,-2.05,NC(C(C)C)C(=O)NC(C(=O)O)CC(C)C
003994-23-8,3.38,c1cccc(Cl)c1NN=C(C(#N))C(=O)OCC
004001-73-4,0.77,NC(=O)c1c(Br)cccc1
004005-51-0,-0.57,s1c(N)nnc1
004008-48-4,1.99,c1cc(N(=O)=O)c2cccnc2c1O
004016-11-9,0.36,O(C1COCC)C1
004022-58-6,0.28,CC1(C)N=C(N)N=C(N)N1c2ccccc2
004033-40-3,-2.60,NC(=O)C(NC(=O)C)CC(=O)O
004043-23-6,2.20,CNC(=O)Oc1cc(CC)ccc1
004052-30-6,0.67,OC(=O)c1ccc(S(=O)(=O)C)cc1
004053-42-3,0.95,c1(C)cc2cccn(=O)c2cc1
004054-88-0,-0.42,C1(C2C3)C2C(O)C3C1O
004070-75-1,3.16,C(C(=O)c2ccccc2)=CC(=O)c1ccccc1
004075-58-5,1.77,s1cccc1C(=O)C(=O)OCC
004080-31-3,-0.10,ClC=CC[N+](CN(C1)C2)(CN1C3)CN32.[Cl-]
004081-02-1,4.30,c1ccccc1C(c2ccc(O)cc2)c3ccc(O)cc3
004089-04-7,2.56,CNC(=O)Oc1ccc2ccccc2c1
004089-99-0,2.57,CNC(=O)Oc1ccc(C(C)C)cc1
004090-00-0,2.03,CNC(=O)Oc1cc(Cl)ccc1
004093-35-0,2.83,c1c(Br)c(N)cc(OC)c1C(=O)NCCN(CC)CC
004093-42-9,2.11,CCN(CC)CCNC(=O)c1c(OC)cc(N)c(N(=O)(=O))c1
004094-38-6,2.40,c1cc(N)ccc1S(=O)(=O)c2ccc(C)cc2
004096-20-2,2.98,N(c(cccc1)c1)(CCCC2)C2
004096-21-3,3.56,C1CCCN1c2ccccc2
004097-22-7,-0.25,O1C(CO)CCC1N2c3ncnc(N)c3N=C2
004101-68-2,6.12,BrCCCCCCCCCCBr
004104-75-0,0.85,CN(c1ccccc1)C(=S)N
004105-38-8,-0.36,N1(C2OC(COC(=O)C)C(OC(=O)C)C2OC(=O)C)C(=O)NC(=O)C=C1
004110-66-1,0.81,O=C(NP(=O)(N1CC1)N2CC2)c3ccccc3
004119-41-9,3.90,ICCCc1ccccc1
004122-57-0,1.00,c1ccc2C(OC)OC(=O)c2c1
004143-63-9,3.20,c1cc(O)ccc1C2=CC(=O)c3ccccc3O2
004144-64-3,-1.88,OC(=O)CN1c2ccccc2N=N1
004144-68-7,-1.64,c1ccc2nn(CC(=O)O)nc2c1
004144-70-1,0.60,c1ccc2nn(CCCC(=O)O)nc2c1
004147-51-7,3.81,CCSc1nc(NC(C)C)nc(NC(C)C)n1
004151-47-7,2.36,CC(=O)Nc1cc(C(C)(C)C)c(O)cc1
004153-42-8,-2.08,CC(C)(C)[N+](C)(C)C.[I-]
004162-45-2,4.97,O(c(c(cc(c1)C(c(cc(c(OCCO)c2Br)Br)c2)(C)C)Br)c1Br)CCO
004172-63-8,-1.52,c1cc(N(H)(H)(Cl)CCC)ccc1C(=O)OCC(O)CN(C)C
004201-22-3,1.80,N1CCNC1=Nc2c(Cl)cc(C)cc2
004201-24-5,1.71,N1CCNC1=Nc2c(C)cccc2Cl
004201-26-7,1.80,N1CCNC1=Nc2ccc(Cl)cc2C
004201-33-6,1.92,Cc1cc(Cl)c(N=C2NCCN2)c(Cl)c1
004201-34-7,2.38,c1(Cl)cc(Cl)cc(C)c1N=C2NCCN2
004201-36-9,2.10,N1CCNC1=Nc2c(C)cc(C)cc2Cl
004201-38-1,2.50,c1(C)cc(Cl)cc(C)c1N=C2NCCN2
004201-40-5,2.32,N1CCNC1=Nc2c(C)cc(C)cc2C
004202-14-6,-0.86,O=P(OC)(OC)CC(=O)C
004204-99-3,1.83,Cn1c(cnc1c2ccc(F)cc2)N(=O)=O
004205-90-7,1.59,Clc1cccc(Cl)c1N=C2NCCN2
004205-93-0,1.96,Brc1cccc(Br)c1N=C2NCCN2
004214-48-6,4.01,Oc1c(Cl)cc(Cl)cc1C(=O)Nc2ccccc2
004214-76-0,0.65,O=N(=O)c(ccc(n1)N)c1
004224-00-4,2.28,c1ccccc1C2(c3ccccc3)C(=O)N(C)C(=O)N2
004228-88-0,3.49,Clc1cc(Cl)c2nc(C(F)(F)F)nc2c1
004228-89-1,2.87,c1cc(Cl)c2nc(C(F)(F)F)nc2c1Cl
004233-61-8,-0.20,c1cc2N=NN(C(C)(C)C(=O)O)c2cc1
004238-50-0,-2.62,COCC[N+](C)(C)C.[I-]
004238-66-8,4.06,c1cc2nc3c(C)c4ccncc4cc3c2cc1
004238-71-5,1.60,C1=NC=CN1Cc2ccccc2
004241-40-1,0.35,O=C1NC(=O)NC(=O)C1(CC)C(C)CC(O)C
